104483,39
99600,21.7
93155,24.4
106907,19.46666667
99216,37.3
111451,28.1
122468,29
112437,27.4
121935,34.2
107522,20.53333333
85762,28
91991,19.93333333
98086,42.9
79604,31.3
100389,30.6
101619,36.06666667
110913,40
115759,42
128725,37.53333333
115096,34.6
122887,34.06666667
116694,42.7
97809,33.3
113897,41.93333333
104456,48.4
76762,43.3
93745,43
101968,46
108185,48.7
123217,48.26666667
138274,63.1
127656,37.5
138554,42.33333333
131848,33.8
116514,42.3
125624,31.8
